year,month,month_number,line,users
2016,june,6,12,270624
2016,june,6,R,30997
2016,july,7,1,128507
2016,july,7,2,312584
2016,july,7,3,448261
2016,july,7,4,270844
2016,july,7,5,467867
2016,july,7,6,740949
2016,july,7,7,278735
2016,july,7,8,129385
2016,july,7,9,273083
2016,july,7,10,489008
2016,july,7,11,30060
2016,july,7,12,224110
2016,july,7,R,27467
2016,august,8,1,66314
2016,august,8,2,243916
2016,august,8,3,355900
2016,august,8,4,193189
2016,august,8,5,367182
2016,august,8,6,569458
2016,august,8,7,204203
2016,august,8,8,105516
2016,august,8,9,200680
2016,august,8,10,374458
2016,august,8,11,24774
2016,august,8,12,178746
2016,august,8,R,21353
2016,september,9,1,165092
2016,september,9,2,358898
2016,september,9,3,532789
2016,september,9,4,324981
2016,september,9,5,541722
2016,september,9,6,911954
2016,september,9,7,345030
2016,september,9,8,155895
2016,september,9,9,341811
2016,september,9,10,577961
2016,september,9,11,35181
2016,september,9,12,295143
2016,september,9,R,31281
2016,october,10,1,291372
2016,october,10,2,392689
2016,october,10,3,597391
2016,october,10,4,359488
2016,october,10,5,603469
2016,october,10,6,982914
2016,october,10,7,382030
2016,october,10,8,167236
2016,october,10,9,367818
2016,october,10,10,626698
2016,october,10,11,38193
2016,october,10,12,320662
2016,october,10,R,34727
2016,november,11,1,591468
2016,november,11,2,375459
2016,november,11,3,563963
2016,november,11,4,369972
2016,november,11,5,592470
2016,november,11,6,921183
2016,november,11,7,367402
2016,november,11,8,161302
2016,november,11,9,374531
2016,november,11,10,622352
2016,november,11,11,39102
2016,november,11,12,317550
2016,november,11,R,52978
2016,december,12,1,752176
2016,december,12,2,392866
2016,december,12,3,555202
2016,december,12,4,351555
2016,december,12,5,595853
2016,december,12,6,834494
2016,december,12,7,340166
2016,december,12,8,151106
2016,december,12,9,347520
2016,december,12,10,582471
2016,december,12,11,38438
2016,december,12,12,288192
2016,december,12,R,58177
2017,january,1,1,733572
2017,january,1,2,356185
2017,january,1,3,522499
2017,january,1,4,367578
2017,january,1,5,578297
2017,january,1,6,847949
2017,january,1,7,352394
2017,january,1,8,124403
2017,january,1,9,359543
2017,january,1,10,590079
2017,january,1,11,39354
2017,january,1,12,302089
2017,january,1,R,51863
2017,february,2,1,733871
2017,february,2,2,349748
2017,february,2,3,520415
2017,february,2,4,392519
2017,february,2,5,573192
2017,february,2,6,881593
2017,february,2,7,361398
2017,february,2,8,
2017,february,2,9,372082
2017,february,2,10,592343
2017,february,2,11,40154
2017,february,2,12,296490
2017,february,2,R,50050
2017,march,3,1,812305
2017,march,3,2,385788
2017,march,3,3,571426
2017,march,3,4,429616
2017,march,3,5,632537
2017,march,3,6,973237
2017,march,3,7,396427
2017,march,3,8,
2017,march,3,9,408601
2017,march,3,10,654377
2017,march,3,11,45335
2017,march,3,12,323990
2017,march,3,R,54952
2017,april,4,1,727055
2017,april,4,2,353810
2017,april,4,3,503146
2017,april,4,4,341566
2017,april,4,5,559090
2017,april,4,6,807994
2017,april,4,7,327209
2017,april,4,8,85545
2017,april,4,9,335706
2017,april,4,10,569002
2017,april,4,11,40757
2017,april,4,12,272543
2017,april,4,R,49698
2017,may,5,1,794140
2017,may,5,2,386256
2017,may,5,3,555240
2017,may,5,4,369388
2017,may,5,5,630093
2017,may,5,6,904354
2017,may,5,7,373875
2017,may,5,8,147148
2017,may,5,9,374622
2017,may,5,10,623599
2017,may,5,11,44324
2017,may,5,12,298168
2017,may,5,R,53537
2017,june,6,1,790017
2017,june,6,2,379978
2017,june,6,3,540281
2017,june,6,4,366578
2017,june,6,5,604685
2017,june,6,6,874560
2017,june,6,7,365316
2017,june,6,8,150752
2017,june,6,9,372810
2017,june,6,10,630463
2017,june,6,11,43324
2017,june,6,12,291316
2017,june,6,R,52947
2017,july,7,1,703743
2017,july,7,2,361128
2017,july,7,3,486107
2017,july,7,4,309901
2017,july,7,5,28980
2017,july,7,6,793356
2017,july,7,7,317524
2017,july,7,8,128210
2017,july,7,9,293303
2017,july,7,10,549821
2017,july,7,11,39091
2017,july,7,12,237302
2017,july,7,R,48081
2017,august,8,1,555043
2017,august,8,2,269949
2017,august,8,3,379287
2017,august,8,4,212898
2017,august,8,5,
2017,august,8,6,593833
2017,august,8,7,228692
2017,august,8,8,103113
2017,august,8,9,207407
2017,august,8,10,409278
2017,august,8,11,31220
2017,august,8,12,186029
2017,august,8,R,36472
2017,september,9,1,758527
2017,september,9,2,357686
2017,september,9,3,527825
2017,september,9,4,342512
2017,september,9,5,499099
2017,september,9,6,874424
2017,september,9,7,360537
2017,september,9,8,150618
2017,september,9,9,356236
2017,september,9,10,597769
2017,september,9,11,41458
2017,september,9,12,306549
2017,september,9,R,49508
2017,october,10,1,843914
2017,october,10,2,398430
2017,october,10,3,587231
2017,october,10,4,389546
2017,october,10,5,601823
2017,october,10,6,988157
2017,october,10,7,415139
2017,october,10,8,164593
2017,october,10,9,407586
2017,october,10,10,675345
2017,october,10,11,45968
2017,october,10,12,341360
2017,october,10,R,55922
2017,november,11,1,824524
2017,november,11,2,385101
2017,november,11,3,576826
2017,november,11,4,385040
2017,november,11,5,593764
2017,november,11,6,959289
2017,november,11,7,406058
2017,november,11,8,161283
2017,november,11,9,395700
2017,november,11,10,649848
2017,november,11,11,45263
2017,november,11,12,334485
2017,november,11,R,54813
2017,december,12,1,806346
2017,december,12,2,392122
2017,december,12,3,558299
2017,december,12,4,356486
2017,december,12,5,577326
2017,december,12,6,849965
2017,december,12,7,355611
2017,december,12,8,147159
2017,december,12,9,349713
2017,december,12,10,590271
2017,december,12,11,42928
2017,december,12,12,290530
2017,december,12,R,57200
2018,january,1,1,813729
2018,january,1,2,377807
2018,january,1,3,556628
2018,january,1,4,384203
2018,january,1,5,587680
2018,january,1,6,906296
2018,january,1,7,393264
2018,january,1,8,162858
2018,january,1,9,381894
2018,january,1,10,630825
2018,january,1,11,44725
2018,january,1,12,317388
2018,january,1,R,53740
2018,february,2,1,804820
2018,february,2,2,368257
2018,february,2,3,547310
2018,february,2,4,375966
2018,february,2,5,571348
2018,february,2,6,915948
2018,february,2,7,391346
2018,february,2,8,157902
2018,february,2,9,378699
2018,february,2,10,630080
2018,february,2,11,43834
2018,february,2,12,305791
2018,february,2,R,52031
2018,march,3,1,842406
2018,march,3,2,386177
2018,march,3,3,566620
2018,march,3,4,377801
2018,march,3,5,598498
2018,march,3,6,918634
2018,march,3,7,390074
2018,march,3,8,159351
2018,march,3,9,378953
2018,march,3,10,637560
2018,march,3,11,45680
2018,march,3,12,300255
2018,march,3,R,54302
2018,april,4,1,856608
2018,april,4,2,390295
2018,april,4,3,576824
2018,april,4,4,388502
2018,april,4,5,617241
2018,april,4,6,957482
2018,april,4,7,408985
2018,april,4,8,165922
2018,april,4,9,393578
2018,april,4,10,662152
2018,april,4,11,46846
2018,april,4,12,316029
2018,april,4,R,55136
2018,may,5,1,855763
2018,may,5,2,395895
2018,may,5,3,576386
2018,may,5,4,382443
2018,may,5,5,641474
2018,may,5,6,941726
2018,may,5,7,408313
2018,may,5,8,161642
2018,may,5,9,390695
2018,may,5,10,661681
2018,may,5,11,47937
2018,may,5,12,309951
2018,may,5,R,55486
2018,june,6,1,823175
2018,june,6,2,376030
2018,june,6,3,554549
2018,june,6,4,370586
2018,june,6,5,601394
2018,june,6,6,895081
2018,june,6,7,358330
2018,june,6,8,155551
2018,june,6,9,379587
2018,june,6,10,640019
2018,june,6,11,45649
2018,june,6,12,289075
2018,june,6,R,53220
2018,july,7,1,739733
2018,july,7,2,326625
2018,july,7,3,489116
2018,july,7,4,321061
2018,july,7,5,533407
