,unplug_hourTime,travels
0,00:00:00,6191
1,01:00:00,4963
2,02:00:00,2919
3,03:00:00,2158
4,04:00:00,1784
5,05:00:00,3146
6,06:00:00,10156
7,07:00:00,24054
8,08:00:00,22013
9,09:00:00,12449
10,10:00:00,12406
11,11:00:00,13487
12,12:00:00,16821
13,13:00:00,22890
14,14:00:00,22988
15,15:00:00,20817
16,16:00:00,22445
17,17:00:00,27741
18,18:00:00,26070
19,19:00:00,21514
20,20:00:00,15498
21,21:00:00,10427
22,22:00:00,10139
23,23:00:00,8896
