,unplug_hourTime,travels
0,00:00:00,2681
1,01:00:00,1374
2,02:00:00,974
3,03:00:00,553
4,04:00:00,1492
5,05:00:00,4494
6,06:00:00,7737
7,07:00:00,8750
8,08:00:00,7675
9,09:00:00,8335
10,10:00:00,9400
11,11:00:00,11081
12,12:00:00,13428
13,13:00:00,10915
14,14:00:00,10387
15,15:00:00,11911
16,16:00:00,15776
17,17:00:00,19219
18,18:00:00,20288
19,19:00:00,15110
20,20:00:00,10090
21,21:00:00,8208
22,22:00:00,6458
23,23:00:00,4219
