,unplug_hourTime,travels
0,00:00:00,1690
1,01:00:00,793
2,02:00:00,583
3,03:00:00,461
4,04:00:00,1890
5,05:00:00,5700
6,06:00:00,12111
7,07:00:00,14287
8,08:00:00,7987
9,09:00:00,7346
10,10:00:00,7945
11,11:00:00,9165
12,12:00:00,11472
13,13:00:00,8932
14,14:00:00,8252
15,15:00:00,8532
16,16:00:00,10714
17,17:00:00,17170
18,18:00:00,54941
19,19:00:00,32815
20,20:00:00,22279
21,21:00:00,7499
22,22:00:00,4351
23,23:00:00,2664
