index,intensidad,ocupacion,carga,vmed,periodo_integracion
001,181.3916344337377,5.781061393695753,13.595364860579435,0.0,14.386120273331263
002,333.9296146718532,4.223828754282247,17.848520382026578,0.0,13.434770354521499
003,374.0183005441457,2.546046495589963,19.092428954116905,0.0,14.605367642726469
004,447.4438432188752,6.573297602941009,19.35809806073852,0.0,13.387342364034911
005,151.35048538927447,6.653640704906291,15.432377234816725,0.0,13.539058810743324
007,157.3101060470468,4.004863332710951,20.47957968306484,0.0,13.634240433836347
009,133.4806913809426,4.005375337681396,9.77675695114218,0.0,14.73132533870197
012,221.4229461862743,4.960013799067136,14.496274406919788,0.0,14.720802655379464
014,228.59944609091806,7.424611930484543,14.16798721170176,0.0,12.651977232936614
015,265.24346467275996,3.5906093828614636,15.980181537867683,0.0,14.040853386270735
016,166.7569429415764,2.7817956557774846,17.682309403733576,0.0,14.163809483930129
017,266.2464007918507,9.756706522487164,18.975405425710736,0.0,14.734739424920141
018,294.7011246156938,7.354754899609183,16.386041980298238,0.0,13.93913530788996
020,102.77632669229715,4.174469537269806,8.933316629716446,0.0,14.331565197554482
023,312.2979478890289,5.370795259960695,17.34522987730656,0.0,12.393053905454092
025,201.54184838404709,2.2193161597512736,13.407265727743592,0.0,14.631603957753203
028,188.39028103307064,3.783137052236771,12.276321885820472,0.0,12.78296069065428
029,136.92626881165774,1.980896778533582,13.488756171287745,0.0,14.102281795980952
032,130.20888021462585,5.999424335236904,12.813916299219597,0.0,14.717137485770367
034,297.926970453703,3.1650134357020767,12.164271067468885,0.0,14.284473986456822
035,152.50788910741193,7.607925530717654,16.079413320351385,0.0,14.766936963732263
037,240.45569835209088,10.368497556948562,20.796518160535236,0.0,14.735262266234052
039,206.04887531249918,2.2138967852790477,17.247247499089386,0.0,14.460702134688187
040,245.157111856954,6.565829437907841,17.451369874986437,0.0,13.831382459747822
041,245.63567412725197,4.839894981501213,15.06011495695972,0.0,14.050215418365864
042,189.35236185484035,4.279797447500911,10.44813933495101,0.0,14.467719082626573
043,242.40205394497497,5.873426579791671,14.131244911692212,0.0,14.466712113669935
045,276.16610611590664,4.411860830121175,13.876316524725304,0.0,13.1474771663663
046,587.4072549098063,9.229406462674282,24.01027238571084,0.0,13.506023097124237
048,580.7651331362446,3.565389428986893,18.129253364398906,0.0,14.122364169099253
050,266.90537607097644,4.359143800393403,15.46251022022298,0.0,13.09279878458544
053,319.27723537220356,6.958450380259548,15.16423735779035,0.0,14.099116686978519
060,211.4187285051907,7.64755553293058,15.573365803140451,0.0,14.661306136659892
061,310.4874736936427,6.70042020663647,20.956219092869535,0.0,13.566675279166857
065,262.21833340942203,6.264887634097336,19.23751628286723,0.0,13.815346964870287
068,208.22893542476805,4.680109518460919,18.572705309162117,0.0,14.073342860394536
075,341.44730106676616,8.71533969684089,18.542304110172807,0.0,14.586013238190754
080,23.56686470384045,1.8010938516441135,3.3811903792476463,0.0,13.752816042060935
083,319.55543017225625,12.389906963783398,23.388615772169867,0.0,12.79946751337585
084,372.1902813218246,5.537064317315528,17.999183455888872,0.0,13.471634894512757
085,143.16887495377534,11.2392723673518,22.118747651412555,0.0,12.653211898474913
086,387.5185842108637,2.8256001162924065,14.402714824885885,0.0,14.853810673233474
087,504.074749894232,11.057248757215559,21.75308771535139,0.0,13.29484033642221
088,232.0948577547299,7.848954214028053,21.888967226345464,0.0,14.18443499855614
089,407.01786579296214,7.513844210861687,19.645577103893505,0.0,11.970768051631588
091,332.455555282982,5.599482723694988,21.193528461193484,0.0,14.455028900351348
094,145.72047283571965,7.80770626202399,13.947072752598265,0.0,14.633402640965237
096,153.000769832289,4.828845581690988,10.369407157334933,0.0,14.663201132693953
098,153.6473890383672,3.8647388134106566,12.138805897066817,0.0,13.699505559903713
