index,id,CODIGOEMPRESA,cod_Est,Ent_2014,Util_2014,Ent_2015,Util_2015,Ent_2016,Util_2016,Ent_2017,Util_2017,Ent_2018,Util_2018,Ent_2019,Util_2019,DISTRITO,BARRIO,X,Y,long,lat
204,193,718,718,1221724.0,2011683.9490394576,1224626.0,1999047.0,1248079.0,2048052.6885,1325103.0,2183773.289289466,1399570.0,2488684.16651394,1409503,2650423.351650245,9,94.0,439269,4480404,-3.716426771786794,40.47209730311617
205,194,902,902,3035746.0,7209733.83678956,2977091.0,6813689.0,2980587.0,6854640.9959,3149346.0,7255767.442299998,3278438.0,6170848.402478187,3260753,6412858.914572649,8,85.0,440507,4481134,-3.7018919574324913,40.478763018322134
208,180,1228,1228,719568.0,1434316.0,741120.0,1509419.0,763783.0,1552039.0,774110.0,1580590.0,633467.0,1288138.0,797065,1626980.0,1,0.0,434864,4463962,-3.766704983937657,40.32364789810049
209,149,122,122,1330551.0,2584761.5182282743,1375792.0,2504488.0,991445.0,1839833.7252045937,1474256.0,2692851.9116,1613771.0,4632125.611111392,1742266,3354024.1923744637,13,135.0,444612,4471631,-3.65263641655274,40.39343885651876
210,388,2616,2616,6567098.0,16279858.970374268,6537054.0,17373163.0,6606889.0,17671441.837704103,6611650.0,26405983.270880796,7334460.0,19453648.716828056,7502206,20056116.84532986,15,162.0,1328208,13436704,-11.02618397969653,121.37642059342878
214,127,1205,1205,1063039.0,1711490.0,1188244.0,2286327.0,1145778.0,2222130.0,1211217.0,2358155.0,1021282.0,1979209.0,1308268,2547759.0,2,0.0,426025,4465526,-3.870917772102015,40.33700047786522
215,554,2854,2854,18605104.0,63472214.43700676,18577109.0,64946323.0,18968416.0,66830428.806705944,20105571.0,79352257.70624629,20471526.0,69598510.18994929,20780207,71402826.17268988,25,262.0,2214773,22386665,-18.363378117757772,202.22346776856432
219,227,503,503,1854275.0,3664409.5290303994,1940108.0,3759434.0,1967711.0,3835659.378737487,1829907.0,3526036.7448964613,2257877.0,5236862.824158998,2355856,4972381.10019193,20,201.0,446948,4477085,-3.6255678507236384,40.44272389673328
221,47,1202,1202,862830.0,1682693.0,894198.0,1720160.0,941970.0,1821241.0,955287.0,1847448.0,785651.0,1517619.0,1071422,2065181.0,2,0.0,430371,4467101,-3.819928619411031,40.35156252441466
223,27,714,714,3463520.0,6985754.008199999,3420667.0,6375956.0,3545283.0,7196543.7864,3734632.0,7679310.631200002,4011199.0,7872823.796273007,4054332,8149541.888087252,7,76.0,439577,4476943,-3.7124642267085535,40.44094172223117
231,339,2119,2119,1059993.0,2164896.0,1100130.0,2252583.0,1237390.0,2538432.0,1384123.0,2824093.0,1489524.0,3040872.0,1496753,3068971.0,2,0.0,893662,8978938,-7.255973940584996,81.10855465259388
232,151,357,357,2069024.0,4098088.475754664,2074747.0,4080806.0,2230486.0,4369155.710630874,2484515.0,4718977.1499000015,2696708.0,5065652.351223423,2874428,5387730.708057247,17,171.0,439638,4466082,-3.7107156241588295,40.3431048857829
234,210,356,356,1130291.0,2134595.394522738,1136989.0,2154768.0,1216355.0,2260565.785326164,1347542.0,2506042.802192021,1464112.0,2556038.4152464,1626783,3096590.6799203763,17,171.0,441235,4466104,-3.6919155325407367,40.34341707979957
236,12,353,353,1668748.0,3035160.635743217,1724045.0,3164563.0,1843935.0,3351311.1425212296,2118507.0,3643830.4759,2272549.0,3840113.197546707,2427867,4528075.984402979,12,123.0,441176,4469263,-3.692901441015436,40.37187104121168
237,206,759,759,253963.0,480122.0,296386.0,541783.0,21528.0,40817.0,354878.0,665198.0,333217.0,631931.0,421592,800356.0,1,191.0,455385,4474468,-3.5259028010732587,40.41964353125746
238,234,522,522,2270099.0,3846172.679842678,2317918.0,3944214.0,2412094.0,4058797.475526625,2230742.0,3713930.8806273486,2777668.0,4785980.481057161,2862247,5365029.923890668,11,112.0,438698,4471876,-3.72233962481483,40.395231658485336
244,43,125,125,1911359.0,3345202.8568782685,1968830.0,3543128.0,2133190.0,3433737.183635382,2318433.0,4004844.1461000005,2504105.0,4253627.520935887,2570599,4902385.497423715,13,134.0,447082,4470570,-3.623445951175772,40.384041260172296
246,266,2435,2435,952235.0,1892916.0,919704.0,1846352.0,968004.0,1940614.0,1057470.0,3179339.8261,1057450.0,2146644.0,1085838,2194177.0,6,0.0,872504,8921068,-7.500053072249043,80.58574718422932
248,93,1035,1035,4378828.0,9698126.039794274,4543843.0,9981154.0,4994866.0,10371958.211314745,4449104.0,9352978.08205701,5180284.0,10220324.773066448,5361552,10710396.23980543,2,24.0,879801,8947241,-7.416671832355394,80.82206918186796
249,428,3339,3339,12081047.0,36903716.24300384,12248346.0,36181964.0,12833920.0,39184065.76747952,13530905.0,37875665.2522328,14009135.0,45319377.621224046,14246683,47073446.773319565,22,231.0,1766749,17911679,-14.75069253808501,161.79956543042246
252,292,918,918,4070407.0,7900025.349409643,4123575.0,7933775.0,4196123.0,8177709.077656018,4306810.0,16869706.2883,4646679.0,9031223.05430286,4741808,9324522.737175692,36,370.0,894763,8957665,-7.241205478899159,80.91698617988965
253,134,1407,1407,3462327.0,7089936.862225449,3452832.0,7079681.0,3606786.0,7304928.205342751,3997980.0,7994939.78769986,4373877.0,7762645.846538639,4693577,9044065.179044107,35,353.0,893423,8951367,-7.256477777455311,80.86016637540331
255,50,1221,1221,1305064.0,2517903.0,1548425.0,3000304.0,1690701.0,3301689.0,1796274.0,3505176.0,1901249.0,3719982.0,1965422,3828312.0,4,0.0,438740,4462823,-3.7209756088123385,40.31368049152421
261,55,919,919,1782367.0,2663156.3348204717,1838071.0,2845399.0,1914209.0,2940867.748393828,1993218.0,3093593.7745888643,1953531.0,3818903.6893122876,2009864,3913082.003102435,19,191.0,447364,4472553,-3.62028769130786,40.40192329690433
262,404,3167,3167,1671552.0,3454985.0,1735904.0,3593441.0,1931458.0,3995809.0,2075166.0,4295962.0,2261239.0,4644149.0,2278776,4732862.0,10,86.0,1333628,13461399,-10.964419800220474,121.5992510082297
265,57,922,922,1517926.0,8474328.142,2390325.0,8077095.0,2490849.0,8359448.19557892,1644009.0,8901293.243121574,2573598.0,8051096.267765083,1860724,8271165.670293729,19,191.0,449536,4472679,-3.5947031336417075,40.40319286198055
266,757,3607,3607,29766468.0,70505921.50730671,30087622.0,70775493.0,31371615.0,74050590.37009056,32962519.0,73640717.44516529,33965278.0,81573452.65283102,34714941,79021377.3963285,52,540.0,2635487,26868145,-22.29868998411293,242.70394324976726
269,203,756,756,733865.0,1497617.0,984717.0,1977795.0,1380043.0,2700561.0,1077340.0,2191202.0,885717.0,1820724.0,1094875,2245773.0,2,0.0,453630,4475298,-3.546649651395441,40.427024832350895
271,287,829,829,2900327.0,6297245.4226,2816683.0,6639520.0,2850589.0,6736930.587653941,3097136.0,7607143.761049826,3270029.0,6776111.210607075,3158294,6359403.241519475,30,312.0,888518,8957281,-7.314820036050453,80.91312136131086
272,187,920,920,1734569.0,3084824.0561999995,1668368.0,2677414.0,1662944.0,2634804.0433,1706677.0,2768197.2107999995,1696102.0,3846569.7174535287,1740653,3617730.9039686364,19,191.0,448445,4473008,-3.6075862133522287,40.406089872978896
273,95,921,921,707291.0,1498847.6115804117,689219.0,1481734.0,688839.0,1496425.642193529,725223.0,1567418.3996,753239.0,1200158.9997481855,759552,1405966.5628473137,19,191.0,448993,4472960,-3.6011244132173266,40.405691211710895
274,54,126,126,1406107.0,2602858.367175837,1431773.0,2640407.0,1146554.0,2039114.284603979,1521120.0,2687480.5765000004,1681942.0,3104602.884147,1853003,3532255.416641496,18,181.0,447370,4470283,-3.620029402490322,40.3814740121391
281,185,1833,1833,3954746.0,7369211.2089396035,3918999.0,7327052.0,4052796.0,7632396.3158,4185576.0,8020140.467726929,4242056.0,8211581.612623175,4453060,8625334.01867564,28,290.0,890377,8946844,-7.291996695018007,80.8192225395796
282,156,1002,1002,2981973.0,6682609.246911936,3017590.0,7263984.0,3079763.0,7415815.199300001,3243665.0,7876702.506,3564843.0,7299889.883955116,3778090,7575732.532263644,8,85.0,441978,4481514,-3.6845732231455184,40.48229029718296
285,71,525,525,1894604.0,3653090.768249026,1923095.0,3643292.0,1944788.0,3781750.816320761,1743130.0,3553165.1812131186,2135916.0,4345206.770137085,2270467,4525193.411402047,11,114.0,436888,4471277,-3.7436063524799006,40.389700418083955
